Partcipant ID, Activity ID, Sample Count, Min, Max, Std. Deviation, Average, Mean, Median, Kurtosis, Skewness
3,6,2,-0.017914596,-0.014668325,0.001623135500000001,-0.0162914605,-0.0162914605,-0.0162914605,-2.0,0.0
5,1,30,-0.058518618,0.0095462177,0.02032375340909987,-0.016369883021,-0.016369883021,-0.01155288505,-0.7530619588836238,-0.6256208588574997
5,1,26,-0.127407,0.017654419,0.02775969656733921,-0.018340972587423073,-0.018340972587423073,-0.0139254675,6.556909828843462,-2.175785377583452
5,2,30,-0.18388452,0.012983925,0.05018696675866764,-0.03294628802333334,-0.03294628802333334,-0.02011221,2.0588756036056592,-1.7337057480460296
5,2,17,-0.13771658,0.015806633,0.04123657705428557,-0.031787012265882354,-0.031787012265882354,-0.025741225,1.5237741179881716,-1.4571903947243952
5,3,30,-0.060228134,0.047499744,0.03009271935664894,-0.011243697866666668,-0.011243697866666668,-0.0164843985,-1.0491006616802292,0.14418806246926194
5,3,17,-0.05100915,0.099754984,0.03652913697019165,-0.0036611532117647064,-0.0036611532117647064,-0.014351783,1.2561783615670166,1.1489712842287434
5,4,30,-0.0530333,0.14263826,0.03897621616026747,-0.0037511359299999994,-0.0037511359299999994,-0.015442877,5.900018221700325,2.5194683375732927
5,4,14,-0.10000638,-0.007285104,0.02196445598766547,-0.023078762428571424,-0.023078762428571424,-0.017394261,7.7817538596790765,-3.0118220750514944
5,5,30,-0.053719594,0.20709635,0.04546815581869186,-0.007766687166666665,-0.007766687166666665,-0.019048731,13.857236403398492,3.5182910101439187
5,5,26,-0.033830384,0.21276764,0.04472125553384326,-0.006124375981923076,-0.006124375981923076,-0.0119827175,19.09177504115125,4.476020412634208
5,6,30,-0.036988797,-0.014541919,0.004846510336661893,-0.0186818835,-0.0186818835,-0.0174028775,6.277860946036235,-2.5796569431602205
5,6,22,-0.047478082,-0.01205691,0.0067175894398443835,-0.017789206181818177,-0.017789206181818177,-0.0169434355,14.390719187836392,-3.854878262907418
6,1,30,-0.096444568,0.034656463,0.02337406982536467,-0.017315731966333334,-0.017315731966333334,-0.0154249175,2.7032655545726065,-0.8567249190443269
